Handle,Title,Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Added 8% margin for ONDC (product.metafields.custom.added_8_margin_for_ondc),Brand (product.metafields.custom.brand),Colour (product.metafields.custom.colour),Default Delivery Fees (product.metafields.custom.default_delivery_fees),Default Discount (product.metafields.custom.default_discount),Default Tax (product.metafields.custom.default_tax),Dimension (product.metafields.custom.dimension),Expected Delivery In Hours (product.metafields.custom.expected_delivery_in_hours),Features (product.metafields.custom.features),Material (product.metafields.custom.material),Minimum Better Home Price (product.metafields.custom.minimum_better_home_price),Other Website Price (product.metafields.custom.other_website_price),Purchase Price (product.metafields.custom.purchase_price),Returns (product.metafields.custom.returns),Service (product.metafields.custom.service),source (product.metafields.custom.source),Warranty (product.metafields.custom.warranty)
rak-ceramics-europa-robe-hook,RAK Ceramics Europa Robe Hook,Better Home,,Bathroom Accessories,Bathroom and Kitchen fixtures,TRUE,Style,ER22AWHA ;Europa Robe Hook 2,,Color,Alpine White,,,,,SAAC0005-24166542,0,,0,deny,manual,803,1012,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/c9046ac2-bdba-4db8-a25f-c93bd78a118a_213.jpg?v=1695416861,1,RAK Ceramics Europa Robe Hook,FALSE,RAK Ceramics Europa Robe Hook - Better Home, Color: Alpine White,,,2996,,,,,,,,,,RAK Ceramics,,50,,0,,2," Dimensions: 180 x 90 mm
 Code: ER22AWHA",,,,,Immediately return goods on delivery in case of any damages found.,,https://www.rakceramics.com/india/en-in/bathroom-kitchen/category/accessories/rak-europa-robe-hook/,
rak-ceramics-europa-screw-on-shelf,RAK Ceramics Europa Screw On Shelf,Better Home,,Bathroom Accessories,Bathroom and Kitchen fixtures,TRUE,Style,ER21AWHA ;Europa Shelf,,Color,Alpine White,,,,,SA A0001-24166514,0,,0,deny,manual,1244,1603,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/fce9a8c2-e63f-471d-8edb-2f47d1a3387d_generated_1159bea581879c1780f2048777bbb6e661e1cd67.jpg.612x480_q85.jpg?v=1695416813,1,RAK Ceramics Europa Screw On Shelf,FALSE,RAK Ceramics Europa Screw On Shelf - Better Home, Color: Alpine White,,,2996,,,,,,,,,,RAK Ceramics,,50,,0,,2," Dimensions: 560 x 130 mm
 Code: ER21AWHA",,,,,Immediately return goods on delivery in case of any damages found.,,https://www.rakceramics.com/india/en-in/bathroom-kitchen/category/accessories/rak-europa-shelf/,
rak-ceramics-europa-towel-rail-holder,RAK Ceramics Europa Towel Rail Holder,Better Home,,Bathroom Accessories,Bathroom and Kitchen fixtures,TRUE,Style,ER27AWHA ;Europa Towel Rail Holder,,Color,Alpine White,,,,,SATO0080-24166507,0,,0,deny,manual,803,1012,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/f1d596aa-4682-4b35-b8a0-b6350b4c6cd0_11.jpg?v=1695416801,1,RAK Ceramics Europa Towel Rail Holder,FALSE,RAK Ceramics Europa Towel Rail Holder - Better Home, Color: Alpine White,,,2996,,,,,,,,,,RAK Ceramics,,50,,0,,2," Dimensions: 90 x 65 mm
 Code: ER27AWHA",,,,,Immediately return goods on delivery in case of any damages found.,,https://www.rakceramics.com/mea/en/bathroom-kitchen/category/accessories/rak-europa-towel-rail-holder/,
rak-ceramics-karla-wash-basin-half-pedestal,RAK Ceramics Karla Wash Basin Half Pedestal,Better Home,,Wash Basin,,TRUE,Style,Karla Wash Basin Half Pedestal,,Color,Alpine White,,,,,SAWA0446-24164406,0,,0,deny,manual,3634,4746,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/a802c98f-aa9c-47f5-8cee-d962606ecf7d_b.jpg?v=1695416788,1,RAK Ceramics Karla Wash Basin Half Pedestal,FALSE,RAK Ceramics Karla Wash Basin Half Pedestal - Better Home," Color: Alpine White
 Overflow hole: yes
 Suites: RAK-KARLA",,,2886,,,,,,,,,,RAK Ceramics,,100,,0,,2," Dimensions: 600 x 485 mm
 Weight: 19 Kg
 Shape of basin: Oval",,,,,Immediately return goods on delivery in case of any damages found.,,https://www.rakceramics.com/india/en-in/bathroom-kitchen/category/wash-basins/rak-karla-wash-basin-whalf-pedestal-60cm/,
rak-ceramics-flora-22-full-pedestal-wash-basin-55cm,RAK Ceramics Flora 22 Full Pedestal Wash Basin 55cm,Better Home,,Wash Basin,,TRUE,Style,Flora Full Pedestal Wash Basin,,Color,Alpine White,,,,,SAWA0445-24164399,0,,0,deny,manual,3718,4860,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/1e2cee20-b020-4869-a724-62a39177ed90_mn.jpg?v=1695416776,1,RAK Ceramics Flora 22 Full Pedestal Wash Basin 55cm,FALSE,RAK Ceramics Flora 22 Full Pedestal Wash Basin 55cm - Better Home, Color: Alpine White,,,2886,,,,,,,,,,RAK Ceramics,,100,,0,,2," Dimensions: 555 x 450 mm
 Shape of basin: Rounded Rectangle",,,,,Immediately return goods on delivery in case of any damages found.,,https://www.rakceramics.com/india/en-in/bathroom-kitchen/category/wash-basins/flora-full-pedestal-wash-basin-55cm-flora-full-pedestal-wash-basin-55cm/,
rak-ceramics-orchid-full-pedestal-wash-basin,RAK Ceramics Orchid Full Pedestal Wash Basin,Better Home,,Wash Basin,,TRUE,Style,Orchid Full Pedestal Wash Basin,,Color,Alpine White,,,,,SAWA0444-24164392,0,,0,deny,manual,3540,4620,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/f34f7761-0d70-4421-b4d6-2c1e98918dc6_cxza.jpg?v=1695416765,1,RAK Ceramics Orchid Full Pedestal Wash Basin,FALSE,RAK Ceramics Orchid Full Pedestal Wash Basin - Better Home, Color: Alpine White,,,2886,,,,,,,,,,RAK Ceramics,,100,,0,,2," Dimensions: 550 x 400 mm
 Shape of basin: Rounded Rectangle",,,,,Immediately return goods on delivery in case of any damages found.,,https://www.rakceramics.com/india/en-in/bathroom-kitchen/category/wash-basins/orchid-full-pedestal-wash-basin-orchid-full-pedestal-wash-basin/,
rak-ceramics-riviera-full-pedestal-wash-basin,RAK Ceramics Riviera Full Pedestal Wash Basin,Better Home,,Wash Basin,,TRUE,Style,Riviera Full Pedestal Wash Basin,,Color,Alpine White,,,,,SAWA0443-24164391,0,,0,deny,manual,5663,7470,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/2ebc7e44-080c-492b-8cf7-35a4dd48a26a_sz.jpg?v=1695416753,1,RAK Ceramics Riviera Full Pedestal Wash Basin,FALSE,RAK Ceramics Riviera Full Pedestal Wash Basin - Better Home, Color: Alpine White,,,2886,,,,,,,,,,RAK Ceramics,,100,,0,,2," Dimensions: 560 x 440 mm
 Shape of basin: Rectangle",,,,,Immediately return goods on delivery in case of any damages found.,,https://www.rakceramics.com/india/en-in/bathroom-kitchen/category/wash-basins/riviera-full-pedestal-wash-basin-riviera-full-pedestal-wash-basin/,
rak-ceramics-venice-full-pedestal-wash-basin,RAK Ceramics Venice Full Pedestal Wash Basin,Better Home,,Wash Basin,,TRUE,Style,Venice Full Pedestal Wash Basin,,Color,Alpine White,,,,,SAWA0442-24164384,0,,0,deny,manual,6504,8600,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/460b6f7e-b993-43c2-8de8-82465d965cc7_zs.jpg?v=1695416742,1,RAK Ceramics Venice Full Pedestal Wash Basin,FALSE,RAK Ceramics Venice Full Pedestal Wash Basin - Better Home, Color: Alpine White,,,2886,,,,,,,,,,RAK Ceramics,,100,,0,,2," Dimensions: 650 x 510 mm
 Shape of basin: Oval",,,,,Immediately return goods on delivery in case of any damages found.,,https://www.rakceramics.com/india/en-in/bathroom-kitchen/category/wash-basins/venice-full-pedestal-wash-basin-venice-full-pedestal-wash-basin/,
eak-ceramics-venice-full-pedestal-wash-basin,EAK Ceramics Venice Full Pedestal Wash Basin,Better Home,,Wash Basin,Bathroom and Kitchen fixtures,TRUE,Style,Venice Full Pedestal Wash basin,,Color,Alpine White,,,,,SAWA0441-24164376,0,,0,deny,manual,5498,7250,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/84f31d9c-ae6a-4317-a44d-5e6dbdb73fda_generated_65e6dc2bda685cf111cce10f2844b850df383a0c.jpg.612x480_q85.jpg?v=1695416728,1,EAK Ceramics Venice Full Pedestal Wash Basin,FALSE,EAK Ceramics Venice Full Pedestal Wash Basin - Better Home, Color: Alpine White,,,2886,,,,,,,,,,RAK Ceramics,,100,,0,,2," Dimensions: 650 x 510 mm
 Shape of basin: Oval",,,,,Immediately return goods on delivery in case of any damages found.,,,
rak-ceramics-compact-full-pedestal-wash-basin,RAK Ceramics Compact Full Pedestal Wash basin,Better Home,,Wash Basin,,TRUE,Style,Wash Basin,,Color,Alpine White,,,,,SAWA0439-24164354,0,,0,deny,manual,2215,2840,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/85b57a72-9e45-4676-a319-3815f022420f_za1.png?v=1695416717,1,,FALSE,RAK Ceramics Compact Full Pedestal Wash basin - Better Home," Color: Alpine White
 Overflow hole: yes
 Suites: RAK-COMPACT",,,2886,,,,,,,,,,RAK Ceramics,,100,,0,,2," Dimensions: 545 x 410 mm
 Weight: 23 Kg
 Shape of basin: Oval",,,,,Immediately return goods on delivery in case of any damages found.,,https://www.rakceramics.com/ksa/en/bathroom-kitchen/category/wash-basins/rak-compact-wash-basin-wpedestal-55cm/,
